Description	CCS Group	ICD9	CCS
Disruption of cesarean wound, unspecified as to episode of care or not applicable	Diagnostic ultrasound of urinary tract	67410	195
Disruption of cesarean wound, delivered, with mention of postpartum complication	Diagnostic ultrasound of urinary tract	67412	195
Other pre-existing hypertension,complicating pregnancy, childbirth, and the puerperium, , postpartum condition or complication	Routine chest X-ray	64224	183
NON-OP PROCEDURE NEC	Complications of surgical procedures or medical care	9999	238
MILK EXTRACTION	Complications of surgical procedures or medical care	9998	238
Polyhydramnios, antepartum condition or complication	Arterio- or venogram (not heart and head)	65703	191
RECTAL MASSAGE	Complications of surgical procedures or medical care	9993	238
OTHER ACUPUNCTURE	Complications of surgical procedures or medical care	9992	238
STRETCHING OF FORESKIN	Complications of surgical procedures or medical care	9995	238
PROSTATIC MASSAGE	Complications of surgical procedures or medical care	9994	238
spironolactone	Complications of surgical procedures or medical care	9997	238
SPERM COLLECTION	Complications of surgical procedures or medical care	9996	238
Unspecified obstructed labor, delivered, with or without mention of antepartum condition	Cerebral arteriogram	66091	188
Polyhydramnios, delivered, with or without mention of antepartum condition	Arterio- or venogram (not heart and head)	65701	191
Polyhydramnios, unspecified as to episode of care or not applicable	Arterio- or venogram (not heart and head)	65700	191
Anastomosis, Roux-en-Y, of extrahepatic biliary ducts and gastrointestinal tract	Other OR gastrointestinal therapeutic procedu	47780	099
Other fibromatoses of muscle, ligament, and fascia	Therapeutic radiology	72879	211
benzethonium	Proctoscopy and anorectal biopsy	1390	077
Ossification of posterior longitudinal ligament in cervical region	Arterial blood gases	7237	205
Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude and duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient measurements) gast	Other diagnostic nervous system procedures	95980	007
Asymptomatic bacteriuria in pregnancy, antepartum condition or complication	Myelogram	64653	181
Unspecified septicemia	Insertion, replacement, or removal of extracr	0389	002
Inguinal hernia, with gangrene, bilateral (not specified as recurrent)	Bunionectomy or repair of toe deformities	55002	143
Inguinal hernia, with gangrene, unilateral or unspecified, recurrent	Bunionectomy or repair of toe deformities	55001	143
Inguinal hernia, with gangrene, unilateral or unspecified (not specified as recurrent)	Bunionectomy or repair of toe deformities	55000	143
Excessive fetal growth, affecting management of mother, unspecified as to episode of care or not applicable	Diagnostic ultrasound of urinary tract	65660	195
Excessive fetal growth, affecting management of mother, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of urinary tract	65661	195
Excessive fetal growth, affecting management of mother, antepartum condition or complication	Diagnostic ultrasound of urinary tract	65663	195
Infection of amniotic cavity, unspecified as to episode of care or not applicable	Arterio- or venogram (not heart and head)	65840	191
Infection of amniotic cavity, delivered, with or without mention of antepartum condition	Arterio- or venogram (not heart and head)	65841	191
Infection of amniotic cavity, antepartum condition or complication	Arterio- or venogram (not heart and head)	65843	191
Other orchitis, epididymitis, and epididymo-orchitis, without mention of abscess	Breast biopsy and other diagnostic procedures	60499	165
Orchitis and epididymitis, unspecified	Breast biopsy and other diagnostic procedures	60490	165
Orchitis and epididymitis in diseases classified elsewhere	Breast biopsy and other diagnostic procedures	60491	165
Preauricular sinus or fistula	Other respiratory therapy	74446	217
Preauricular cyst	Other respiratory therapy	74447	217
Branchial cleft cyst	Other respiratory therapy	74442	217
Branchial cleft sinus or fistula	Other respiratory therapy	74441	217
Polyp of nasal cavity	Cesarean section	4710	134
Hypertonic, incoordinate, or prolonged uterine contractions, antepartum condition or complication	Contrast arteriogram of femoral and lower ext	66143	190
Carcinoma in situ of penis	Diagnostic procedures on nose, mouth and phar	2335	031
Diverticulosis of small intestine (without mention of hemorrhage)	Treatment, fracture or dislocation of hip and	56200	146
Diverticulitis of small intestine (without mention of hemorrhage)	Treatment, fracture or dislocation of hip and	56201	146
Diverticulosis of small intestine with hemorrhage	Treatment, fracture or dislocation of hip and	56202	146
Carcinoma in situ of other and unspecified urinary organs	Tracheostomy, temporary and permanent	2339	034
BURY FIMBRIAE IN UTERUS	Other operations on fallopian tubes	6697	123
Suture of tongue to lip for micrognathia (Douglas type procedure)	Other OR therapeutic procedures on nose, mout	41510	033
Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A	Laminectomy, excision intervertebral disc	04101	003
Septic pulmonary embolism	Nephrotomy and nephrostomy	41512	103
OTH BONE LNGTH CHNGE NEC (Begin 1991)	Other OR therapeutic procedures on bone	7839	161
Generalized vaccinia as a complication of medical care, not elsewhere classified	Complications of surgical procedures or medical care	9990	238
OTH BONE LNGTH CHNGE NOS	Residual codes; unclassified	7830	259
BONE LNGTH CHNGE-THORAX	Other OR therapeutic procedures on bone	7831	161
HUMERUS LENGTH CHANGE	Other OR therapeutic procedures on bone	7832	161
4-aminosalicylic acid	Other OR therapeutic procedures on bone	7833	161
CARPAL LENGTH CHANGE	Other OR therapeutic procedures on bone	7834	161
FEMUR LENGTH CHANGE	Other OR therapeutic procedures on bone	7835	161
Polyphagia	Residual codes; unclassified	7836	259
TIBIA/FIBULA LNGTH CHNGE	Other OR therapeutic procedures on bone	7837	161
Acute myocardial infarction of other inferior wall, initial episode of care	Endoscopy and endoscopic biopsy of the urinar	41041	100
Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus	Laminectomy, excision intervertebral disc	04109	003
NECK SUPPORT APPLICATION	Gastric bypass and volume reduction	9352	244
PLASTER JACKET APPLICAT	Gastric bypass and volume reduction	9351	244
Foreign body in mouth	Gastric bypass and volume reduction	9350	244
INSERT RECTAL TUBE	Poisoning by other medications and drugs	9609	242
Profound impairment, one eye, impairment level not further specified	Exploratory laparotomy	36960	089
One eye: near-total vision impairment; other eye: vision not specified	Exploratory laparotomy	36964	089
Spontaneous abortion, complicated by delayed or excessive hemorrhage, incomplete	Computerized axial tomography (CT) scan head	63411	177
Spontaneous abortion, complicated by delayed or excessive hemorrhage, unspecified	Computerized axial tomography (CT) scan head	63410	177
Spontaneous abortion, complicated by delayed or excessive hemorrhage, complete	Computerized axial tomography (CT) scan head	63412	177
UNILAT ADRENAL EXPLORAT	Diagnostic endocrine procedures	0701	011
Imperforate hymen	Other physical therapy and rehabilitation	75242	215
INT OR REPL PERM PACEMKR (Begin 1987)	Insertion, revision, replacement, removal of	3780	048
Unspecified anomaly of cervix, vagina, and external female genitalia	Other physical therapy and rehabilitation	75240	215
PIERCING OF EAR LOBE	Other therapeutic ear procedures	1801	026
Malignant neoplasm of endocervix	Other therapeutic ear procedures	1800	026
Injury to esophagus without mention of open wound into cavity	Pathology	86222	234
Other anomalies of cervix, vagina, and external female genitalia	Other physical therapy and rehabilitation	75249	215
REVISE OR REMOVE PACEMAK (Begin 1987)	Peritoneal dialysis	3789	091
EXTERNAL EAR INCIS NEC	Other therapeutic ear procedures	1809	026
bumetanide	Other therapeutic ear procedures	1808	026
Methicillin resistant Staphylococcus aureus septicemia	Insertion, replacement, or removal of extracr	03812	002
Methicillin susceptible Staphylococcus aureus septicemia	Insertion, replacement, or removal of extracr	03811	002
Staphylococcal septicemia, unspecified	Insertion, replacement, or removal of extracr	03810	002
Open fracture of clavicle, unspecified part	Nonoperative removal of foreign body	81010	229
Open fracture of acromial end of clavicle	Nonoperative removal of foreign body	81013	229
Other staphylococcal septicemia	Insertion, replacement, or removal of extracr	03819	002
Ehrlichiosis, unspecified	Other non-OR or closed therapeutic nervous sy	08240	008
Malignant neoplasm of endocrine gland, site unspecified	Other non-OR therapeutic procedures on respir	1949	041
Malignant neoplasm of pituitary gland and craniopharyngeal duct	Other non-OR therapeutic procedures on respir	1943	041
Malignant neoplasm of adrenal gland	Other non-OR therapeutic procedures on respir	1940	041
Malignant neoplasm of parathyroid gland	Other non-OR therapeutic procedures on respir	1941	041
Inflamed seborrheic keratosis	Nonoperative urinary system measurements	70211	200
Radiologic examination, sinuses, paranasal, less than three views	Other diagnostic radiology and related techni	70210	226
Plantar fascial fibromatosis	Therapeutic radiology	72871	211
Urethral stricture due to infective diseases classified elsewhere	Other diagnostic procedures on musculoskeleta	59801	159
Urethral stricture due to unspecified infection	Other diagnostic procedures on musculoskeleta	59800	159
Anemia, unspecified	Other OR procedures on vessels of head and ne	2859	059
Other specified anemias	Other OR procedures on vessels of head and ne	2858	059
Arthropathy associated with mycoses, site unspecified	Cardiac stress tests	71160	201
Acute posthemorrhagic anemia	Embolectomy and endarterectomy of lower limbs	2851	060
Sideroblastic anemia	Other OR procedures on vessels of head and ne	2850	059
Antineoplastic chemotherapy induced anemia	Complications of surgical procedures or medical care	2853	238
Malignant neoplasm of pharynx, unspecified	Diagnostic endocrine procedures	1490	011
PNEMOTHORAX-LUNG COLLAPS	Hemorrhoid procedures	3332	081
DESTR PHREN-LUNG COLLAPS	Hemorrhoid procedures	3331	081
Other degenerative diseases of the basal ganglia	Hemorrhoid procedures	3330	081
symptom torsion dystonia	Hemorrhoid procedures	3337	081
Genetic torsion dystonia	Hemorrhoid procedures	3336	081
Other choreas	Hemorrhoid procedures	3335	081
THORACOPLASTY	Hemorrhoid procedures	3334	081
Postpartum care and examination immediately after delivery	Diagnostic ultrasound of abdomen or retroperi	V240	196
Postpartum care and examination of lactating mother	Diagnostic ultrasound of abdomen or retroperi	V241	196
cinchocaine	Other OR therapeutic procedures on respirator	3339	042
Mantle cell lymphoma, unspecified site, extranodal and solid organ sites	Other diagnostic procedures on lung and bronc	20040	038
Burn [any degree] involving less than 10 percent of body surface with third degree burn, less than 10 percent or unspecified	Burns	94800	240
Mantle cell lymphoma, lymph nodes of multiple sites	Other diagnostic procedures on lung and bronc	20048	038
Cortical senile cataract	Other hernia repair	36615	086
Posterior subcapsular polar senile cataract	Other hernia repair	36614	086
Total or mature cataract	Other hernia repair	36617	086
Senile nuclear sclerosis	Other hernia repair	36616	086
Pseudoexfoliation of lens capsule	Other hernia repair	36611	086
Senile cataract, unspecified	Other hernia repair	36610	086
Anterior subcapsular polar senile cataract	Other hernia repair	36613	086
Incipient senile cataract	Other hernia repair	36612	086
Other and combined forms of senile cataract	Other hernia repair	36619	086
Hypermature cataract	Other hernia repair	36618	086
Chronic hepatitis C with hepatic coma	Decompression peripheral nerve	07044	006
Urinary hesitancy	Other non-OR therapeutic procedures on muscul	78864	163
Acute hepatitis C with hepatic coma	Decompression peripheral nerve	07041	006
Patulous Eustachian tube	Other bowel diagnostic procedures	3817	092
Slowing of urinary stream	Other non-OR therapeutic procedures on muscul	78862	163
Open wound of toe(s), without mention of complication	Home Health Services	8930	236
DENTAL EXAMINATION	Home Health Services	8931	236
Human T-cell lymphotrophic virus, type II [HTLV-II]	Other diagnostic nervous system procedures	07952	007
ESOPHAGEAL MANOMETRY	Home Health Services	8932	236
Human T-cell lymphotrophic virus, type I [HTLV-I]	Other diagnostic nervous system procedures	07951	007
Precipitate labor, delivered, with or without mention of antepartum condition	Contrast arteriogram of femoral and lower ext	66131	190
Third-degree perineal laceration, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of heart (echocardiogra	66421	193
IRIDOPLASTY NEC	Other intraocular therapeutic procedures	1239	020
Closed multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum	Other therapeutic procedures	8280	231
TRANSFER OF FINGER	Other therapeutic procedures	8281	231
Open wound of scapular region, without mention of complication	Home Health Services	88001	236
Cyst of prostate	Other OR therapeutic procedures on musculoske	6003	164
hypertrophy of prostate	Other OR therapeutic procedures on musculoske	6000	164
Vesicoureteral reflux with reflux nephropathy, unilateral	Other OR therapeutic procedures on bone	59371	161
Vesicoureteral reflux unspecified or without reflux nephropathy	Other OR therapeutic procedures on bone	59370	161
Other vesicoureteral reflux with reflux nephropathy NOS	Other OR therapeutic procedures on bone	59373	161
LOWER LIMB VEIN INCISION	Other OR upper GI therapeutic procedures	3809	094
INSERT INTERBODY SPINAL FUSION DEVICE (Begin 2002)	Spinal fusion	8451	158
INCISION OF AORTA	Other OR upper GI therapeutic procedures	3804	094
INTRACRAN VESSEL INCIS	Other OR procedures on vessels of head and ne	3801	059
Erythema [first degree] of thigh [any part]	Burns	94516	240
HEAD/NECK VES INCIS NEC	Other OR procedures on vessels of head and ne	3802	059
INS TOT DISC PROST CERV (Begin 2004)	Anesthesia	8462	232
podophyllotoxin	Anesthesia	8463	232
INSERT DISC PROS NOS (Begin 2004)	Anesthesia	8460	232
Migraine without aura, without mention of intractable migraine without mention of status migrainosus	Cholecystectomy and common duct exploration	34610	084
REVISE DSIC PROSTH LUMB (Begin 2004)	Anesthesia	8468	232
REVISE DISC PROSTH NOS (Begin 2004)	Anesthesia	8469	232
Open fracture of unspecified part of fibula with tibia	Extracorporeal shock wave, other than urinary	82392	230
Open fracture of unspecified part of fibula alone	Extracorporeal shock wave, other than urinary	82391	230
Open fracture of unspecified part of tibia alone	Laboratory - Chemistry and Hematology	82390	233
Fitting and adjustment of neuropacemaker (brain) (peripheral nerve) (spinal cord)	Other non-OR lower GI therapeutic procedures	V5302	095
Fitting and adjustment of cerebral ventricular (communicating) shunt	Other non-OR lower GI therapeutic procedures	V5301	095
altretamine	Other procedures to assist delivery	5296	137
Fitting and adjustment of other devices related to nervous system and special senses	Other non-OR lower GI therapeutic procedures	V5309	095
Crushing injury of other specified sites of trunk	Pathology	92619	234
Unspecified anomaly of unspecified limb	Other respiratory therapy	7559	217
Other specified anomalies of unspecified limb	Other respiratory therapy	7558	217
Prophylactic breast removal	Residual codes; unclassified	V5041	259
Prophylactic ovary removal	Residual codes; unclassified	V5042	259
Other prophylactic gland removal	Residual codes; unclassified	V5049	259
Stevens-Johnson syndrome	Magnetic resonance imaging	69513	198
Erythema multiforme, unspecified	Magnetic resonance imaging	69510	198
Erythema multiforme minor	Magnetic resonance imaging	69511	198
Arteriovenous fistula of pulmonary vessels	Nephrotomy and nephrostomy	4170	103
Aneurysm of pulmonary artery	Nephrotomy and nephrostomy	4171	103
Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes	Other OR therapeutic procedures on respirator	1961	042
OTHER NEUROPLASTY	Colonoscopy and biopsy	0479	076
etoposide	Nephrotomy and nephrostomy	4179	103
Talipes, unspecified	Other respiratory therapy	75470	217
Talipes cavus	Other respiratory therapy	75471	217
Other deformities of feet	Other respiratory therapy	75479	217
Crushing injury of finger(s)	Pathology	9273	234
Nonallopathic lesions, head region	Diagnostic physical therapy	7390	212
Chronic tension type headache	Cholecystectomy and common duct exploration	33912	084
Calculus of bile duct without mention of cholecystitis, without mention of obstruction	Arthroscopy	57450	149
Benign neoplasm of other specified sites of male genital organs	Diagnostic cardiac catheterization, coronary	2228	047
Benign neoplasm of scrotum	Diagnostic cardiac catheterization, coronary	2224	047
REPLACE PROLAPSED CORD	Diagnostic physical therapy	7392	212
Benign neoplasm of prostate	Diagnostic cardiac catheterization, coronary	2222	047
Benign neoplasm of testis	Diagnostic cardiac catheterization, coronary	2220	047
Benign neoplasm of penis	Diagnostic cardiac catheterization, coronary	2221	047
Calculus of kidney	Other therapeutic procedures on muscles and t	5920	160
PERIREN/URETERAL BIOPSY	Other therapeutic procedures on muscles and t	5921	160
PERIREN/URET DX PROC NEC	Other therapeutic procedures on muscles and t	5929	160
Congenital osteodystrophy, unspecified	Other respiratory therapy	75650	217
Osteogenesis imperfecta	Other respiratory therapy	75651	217
Osteopetrosis	Other respiratory therapy	75652	217
Polyostotic fibrous dysplasia of bone	Other respiratory therapy	75654	217
Other osteodystrophies	Other respiratory therapy	75659	217
Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled	Extracorporeal circulation auxiliary to open	25080	050
Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled	Extracorporeal circulation auxiliary to open	25081	050
Diabetes with other specified manifestations, type II or unspecified type, uncontrolled	Extracorporeal circulation auxiliary to open	25082	050
Diabetes with other specified manifestations, type I [juvenile type], uncontrolled	Extracorporeal circulation auxiliary to open	25083	050
Acquired deformities of auricle or pinna	Other OR upper GI therapeutic procedures	38032	094
Room & Board - Semi-private Two Bed(Medical or General) - Psychiatric	Other non-OR or closed therapeutic nervous sy	124	008
Hematoma of auricle or pinna	Other OR upper GI therapeutic procedures	38031	094
Disorder of pinna, unspecified	Other OR upper GI therapeutic procedures	38030	094
Chronic graft-versus-host disease	Ancillary Services	27952	237
Fetal growth retardation, unspecified, unspecified [weight]	Short gestation; low birth weight; and fetal growth retardation	76490	219
Mild hyperemesis gravidarum, unspecified as to episode of care or not applicable	Myelogram	64300	181
Mild hyperemesis gravidarum, delivered, with or without mention of antepartum condition	Myelogram	64301	181
Mild hyperemesis gravidarum, antepartum condition or complication	Myelogram	64303	181
Clinical anophthalmos, unspecified	Other respiratory therapy	74300	217
Other tracheostomy complications	Complications of surgical procedures or medical care	51909	238
Screening examination for venereal disease	Thyroidectomy, partial or complete	V745	010
Screening examination for bacterial conjunctivitis	Thyroidectomy, partial or complete	V744	010
Screening examination for pulmonary tuberculosis	Thyroidectomy, partial or complete	V741	010
Premature beats, unspecified	Genitourinary incontinence procedures	42760	106
Supraventricular premature beats	Genitourinary incontinence procedures	42761	106
Concussion, with loss of consciousness of 30 minutes or less	Laboratory - Chemistry and Hematology	85011	233
Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness	Laboratory - Chemistry and Hematology	80021	233
Concussion, with loss of consciousness from 31 to 59 minutes	Laboratory - Chemistry and Hematology	85012	233
Screening examination for unspecified bacterial and spirochetal diseases	Thyroidectomy, partial or complete	V749	010
Screening examination for other specified bacterial and spirochetal diseases	Thyroidectomy, partial or complete	V748	010
Other premature beats	Genitourinary incontinence procedures	42769	106
Gouty tophi of other sites, except ear	Other vascular catheterization, not heart	27482	054
Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born in hospital, delivered by cesarean section	Psychological and psychiatric evaluation and	V3701	218
Other aneurysm of heart	Nephrectomy, partial or complete	41419	104
Malignant carcinoid tumor of the ileum	Diagnostic procedures on eye	20903	018
Malignant carcinoid tumor of the small intestine, unspecified portion	Other OR therapeutic procedures on bone	20900	161
Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born in hospital, delivered without mention of cesarean section	Psychological and psychiatric evaluation and	V3700	218
Gout with other specified manifestations	Other vascular catheterization, not heart	27489	054
Aneurysm of coronary vessels	Nephrectomy, partial or complete	41411	104
Aneurysm of heart (wall)	Nephrectomy, partial or complete	41410	104
Closed dislocation, coccyx	Conversion of cardiac rhythm	83941	225
Closed dislocation, vertebra, unspecified site	Conversion of cardiac rhythm	83940	225
Closed dislocation, sacrum	Conversion of cardiac rhythm	83942	225
Other bone involvement in diseases classified elsewhere	Diagnostic physical therapy	7318	212
Osteitis deformans in diseases classified elsewhere	Diagnostic physical therapy	7311	212
Osteitis deformans without mention of bone tumor	Diagnostic physical therapy	7310	212
Hypertrophic pulmonary osteoarthropathy	Diagnostic physical therapy	7312	212
Fitting and adjustment of breast prosthesis and implant	Rehabilitation care; fitting of prostheses; and adjustment of devices	V524	254
Fitting and adjustment of other specified prosthetic device	Rehabilitation care; fitting of prostheses; and adjustment of devices	V528	254
Pathological dislocation of joint, ankle and foot	Swan-Ganz catheterization for monitoring	71827	204
Ingrowing nail	Nonoperative urinary system measurements	7030	200
pyrimethamine	Pathology	9010	234
CULTURE-ENDOCRINE	Pathology	9012	234
Other specified diseases of nail	Nonoperative urinary system measurements	7038	200
Unspecified disease of nail	Nonoperative urinary system measurements	7039	200
Pathological dislocation of joint, lower leg	Swan-Ganz catheterization for monitoring	71826	204
Thyroid carcinoma metastases uptake (List separately in addition to code for primary procedure)	Radioisotope scan and function studies	78020	209
Other health problems within the family	Administrative/social admission	V6149	255
Superficial foreign body (splinter) of elbow, forearm, and wrist, without major open wound, infected	Superficial injury; contusion	9137	239
Alcoholism in family	Administrative/social admission	V6141	255
Other optic neuritis	Excision, lysis peritoneal adhesions	37739	090
Spontaneous abortion, with unspecified complication, incomplete	Computerized axial tomography (CT) scan head	63481	177
Optic papillitis	Excision, lysis peritoneal adhesions	37731	090
Contact blepharoconjunctivitis	Excision, lysis peritoneal adhesions	37222	090
Angular blepharoconjunctivitis	Excision, lysis peritoneal adhesions	37221	090
Blepharoconjunctivitis, unspecified	Excision, lysis peritoneal adhesions	37220	090
PART OSTECT-METATAR/TAR	Cancer chemotherapy	7788	224
contusn of foot	Superficial injury; contusion	92420	239
contusn of ankle	Superficial injury; contusion	92421	239
Pathological dislocation of joint, hand	Swan-Ganz catheterization for monitoring	71824	204
PART OSTECT-RADIUS/ULNA	Cancer chemotherapy	7783	224
Other joint derangement, not elsewhere classified, multiple sites	Swan-Ganz catheterization for monitoring	71889	204
Other joint derangement, not elsewhere classified, other specified sites	Swan-Ganz catheterization for monitoring	71888	204
Prolapse of cord complicating labor and delivery, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of head and neck	66301	192
TOXICOLOGY-LOWER URINARY	Superficial injury; contusion	9135	239
Other joint derangement, not elsewhere classified, shoulder region	Swan-Ganz catheterization for monitoring	71881	204
Other joint derangement, not elsewhere classified, site unspecified	Swan-Ganz catheterization for monitoring	71880	204
Other joint derangement, not elsewhere classified, forearm	Swan-Ganz catheterization for monitoring	71883	204
Other joint derangement, not elsewhere classified, upper arm	Swan-Ganz catheterization for monitoring	71882	204
Other joint derangement, not elsewhere classified, pelvic region and thigh	Swan-Ganz catheterization for monitoring	71885	204
Other joint derangement, not elsewhere classified, hand	Swan-Ganz catheterization for monitoring	71884	204
Other joint derangement, not elsewhere classified, ankle and foot	Swan-Ganz catheterization for monitoring	71887	204
Other joint derangement, not elsewhere classified, lower leg	Swan-Ganz catheterization for monitoring	71886	204
Other disease of nasal cavity and sinuses	Cesarean section	47819	134
Nasal mucositis (ulcerative)	Cesarean section	47811	134
Leptospirosis icterohemorrhagica	Other non-OR or closed therapeutic nervous sy	1000	008
Other complications of obstetrical surgical wounds, delivered, with mention of postpartum complication	Diagnostic ultrasound of urinary tract	67432	195
Other complications of obstetrical surgical wounds, unspecified as to episode of care or not applicable	Diagnostic ultrasound of urinary tract	67430	195
Other complications of obstetrical surgical wounds, postpartum condition or complication	Diagnostic ultrasound of urinary tract	67434	195
LOCAL GASTR DESTRUCT NEC	Procedures on the urethra	4349	109
Debridement including removal of foreign material associated with open fracture(s) and/or dislocation(s); skin and subcutaneous tissues	Debridement of wound, infection or burn	11010	169
Other enthesopathy of ankle and tarsus	Therapeutic radiology	72679	211
Calcaneal spur	Therapeutic radiology	72673	211
Tibialis tendinitis	Therapeutic radiology	72672	211
Achilles bursitis or tendinitis	Therapeutic radiology	72671	211
Enthesopathy of ankle and tarsus, unspecified	Therapeutic radiology	72670	211
CYSTOTOMY NEC	Excision of semilunar cartilage of knee	5719	151
OTHER SUPRAPU CYSTOSTOMY (Begin 1989)	Excision of semilunar cartilage of knee	5718	151
Biliary cirrhosis	Excision of semilunar cartilage of knee	5716	151
Cirrhosis of liver without mention of alcohol	Excision of semilunar cartilage of knee	5715	151
CYSTOTOMY & ADHESIOLYSIS	Other OR therapeutic procedures of urinary tr	5712	112
PERCUTAN BLADDER ASPIRAT	Other non-OR therapeutic procedures of urinar	5711	111
Screening for lipoid disorders	Other screening for suspected conditions (not mental disorders or infectious disease)	V7791	258
Ulceration of vulva in diseases classified elsewhere	Incision and drainage, skin and subcutaneous	61651	168
Ulceration of vulva, unspecified	Incision and drainage, skin and subcutaneous	61650	168
Screening for other and unspecified endocrine, nutritional, metabolic, and immunity disorders	Other screening for suspected conditions (not mental disorders or infectious disease)	V7799	258
Subaortic stenosis	Physical therapy exercises, manipulation, and	74681	213
Cor triatriatum	Physical therapy exercises, manipulation, and	74682	213
Infundibular pulmonic stenosis	Physical therapy exercises, manipulation, and	74683	213
Obstructive anomalies of heart, not elsewhere classified	Physical therapy exercises, manipulation, and	74684	213
Coronary artery anomaly	Physical therapy exercises, manipulation, and	74685	213
Congenital heart block	Physical therapy exercises, manipulation, and	74686	213
Malposition of heart and cardiac apex	Physical therapy exercises, manipulation, and	74687	213
Other specified congenital anomalies of heart	Physical therapy exercises, manipulation, and	74689	213
Personal history of malignant neoplasm of nasal cavities, middle ear, and accessory sinuses	Other intraocular therapeutic procedures	V1022	020
Personal history of malignant neoplasm of larynx	Diagnostic endocrine procedures	V1021	011
Antepartum hemorrhage associated with coagulation defects, antepartum condition or complication	Mammography	64133	182
Delayed delivery after spontaneous or unspecified rupture of membranes, antepartum condition or complication	Arterio- or venogram (not heart and head)	65823	191
Delayed delivery after spontaneous or unspecified rupture of membranes, delivered, with or without mention of antepartum condition	Arterio- or venogram (not heart and head)	65821	191
Closed fracture of two ribs	Other therapeutic procedures	80702	231
Closed fracture of three ribs	Other therapeutic procedures	80703	231
Closed fracture of rib(s), unspecified	Other therapeutic procedures	80700	231
Closed fracture of one rib	Other therapeutic procedures	80701	231
Closed fracture of six ribs	Other therapeutic procedures	80706	231
Closed fracture of seven ribs	Other therapeutic procedures	80707	231
Closed fracture of four ribs	Other therapeutic procedures	80704	231
Closed fracture of five ribs	Other therapeutic procedures	80705	231
Other specified organ or tissue replaced by transplant	Residual codes; unclassified	V4289	259
Closed fracture of eight or more ribs	Other therapeutic procedures	80708	231
Closed fracture of multiple ribs, unspecified	Other therapeutic procedures	80709	231
Discontinuity or dislocation of ear ossicles	Other bowel diagnostic procedures	38523	092
Organ or tissue replaced by transplant, intestines	Residual codes; unclassified	V4284	259
PERIOSTEAL SUTUR-PATELLA (Begin 1991)	Residual codes; unclassified	7816	259
PERIOST SUT-TIBIA/FIBULA (Begin 1991)	Other OR therapeutic procedures on bone	7817	161
PERIOST SUT-METACAR/CAR (Begin 1991)	Other OR therapeutic procedures on bone	7814	161
PERIOSTEAL SUTURE-FEMUR (Begin 1991)	Residual codes; unclassified	7815	259
oxymetazoline	Other OR therapeutic procedures on bone	7812	161
oxymetholone	Other OR therapeutic procedures on bone	7813	161
PERIOSTEAL SUTURE NOS (Begin 1991)	Other OR therapeutic procedures on bone	7810	161
PERIOST SUT-CHEST CAGE (Begin 1991)	Other OR therapeutic procedures on bone	7811	161
PERIOST SUT-METATAR/TAR (Begin 1991)	Other OR therapeutic procedures on bone	7818	161
PERIOSTEAL SUTURE NEC (Begin 1991)	Therapeutic radiology	7819	211
Lown-Ganong-Levine syndrome	Kidney transplant	42681	105
Long QT syndrome	Kidney transplant	42682	105
Open dislocation of metatarsophalangeal (joint)	Conversion of cardiac rhythm	83815	225
Other specified conduction disorders	Kidney transplant	42689	105
Other symptoms referable to back	Arterial blood gases	7248	205
Congenital ectodermal dysplasia	Other respiratory therapy	75731	217
Other specified intestinal obstruction	Treatment, fracture or dislocation of radius	56089	145
Hepatitis C carrier	Thyroidectomy, partial or complete	V0262	010
Hepatitis B carrier	Thyroidectomy, partial or complete	V0261	010
Viral hepatitis carrier, unspecified	Thyroidectomy, partial or complete	V0260	010
Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection)	Treatment, fracture or dislocation of radius	56081	145
Biopsy of palate, uvula	Diagnostic procedures on nose, mouth and phar	42100	031
Acute peptic ulcer of unspecified site with hemorrhage, without mention of obstruction	Hip replacement, total and partial	53300	153
Acute peptic ulcer of unspecified site with hemorrhage, with obstruction	Hip replacement, total and partial	53301	153
Awaiting organ transplant status	Residual codes; unclassified	V4983	259
Chronic dacryoadenitis	Excision, lysis peritoneal adhesions	37502	090
Chronic enlargement of lacrimal gland	Excision, lysis peritoneal adhesions	37503	090
Dacryoadenitis, unspecified	Excision, lysis peritoneal adhesions	37500	090
Acute dacryoadenitis	Excision, lysis peritoneal adhesions	37501	090
Peritoneal effusion (chronic)	Arthrocentesis	56882	155
busulfan	Diagnostic procedures on ear	1828	025
Hemoperitoneum (nontraumatic)	Arthrocentesis	56881	155
Malignant neoplasm of corpus uteri, except isthmus	Diagnostic procedures on ear	1820	025
Other specified disorders of peritoneum	Arthrocentesis	56889	155
